Date, Map, Result, SR Before, SR After, Heroes, Group Size
"2017-07-17T00:32:10.000Z", Numbani, DRAW, "", "", pharah, 1
"2017-07-17T00:45:10.000Z", Ilios, LOSS, "", "", "mercy, dva, pharah", 1

