Date, Map, Result, SR Before, SR After, Heroes, Group Size
"2017-07-07T07:00:26.000Z", "", "", 2371, 2353, mercy, 1
"2017-07-07T07:19:12.000Z", "", "", 2353, 2375, "zenyatta, mercy", 1
"2017-07-07T07:53:14.000Z", Temple of Anubis, LOSS, 2375, 2354, "zenyatta, lucio, mercy", 1
"2017-07-07T08:15:21.000Z", Hanamura, WIN, 2354, 2373, "mercy, pharah, zenyatta", 1
"2017-07-11T03:59:57.000Z", "King's Row", WIN, 2373, 2394, dva, 1
"2017-07-11T04:19:42.000Z", Route 66, LOSS, 2394, 2374, "lucio, mercy", 1
"2017-07-11T06:10:46.000Z", Lijiang Tower, LOSS, 2374, 2348, "junkrat, pharah, s76", 1
"2017-07-12T04:14:10.000Z", Dorado, LOSS, 2348, 2320, "junkrat, dva, reaper", 1

